PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Glycine_405_microimaging_homogeneous_293K_none_0_solid_microcrystals_06282022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/28
TIME,15:25:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.9146
LASTX, 5992.0854
NPOINTS,   11987
FIRSTY,  1361.69995
MAXY,  3823.96436
MINY,  1359.70789
XYDATA,
165.5854,1544.78
166.0854,1544.89
166.5854,1544.97
167.0854,1545.1
167.5854,1545.35
168.0854,1545.79
168.5854,1546.51
169.0854,1547.57
169.5854,1549.05
170.0854,1550.92
170.5854,1553.13
171.0854,1555.58
171.5854,1558.22
172.0854,1560.98
172.5854,1563.77
173.0854,1566.54
173.5854,1569.2
174.0854,1571.7
174.5854,1573.95
175.0854,1575.94
175.5854,1577.68
176.0854,1579.18
176.5854,1580.43
177.0854,1581.45
177.5854,1582.24
178.0854,1582.81
178.5854,1583.16
179.0854,1583.3
179.5854,1583.23
180.0854,1582.97
180.5854,1582.52
181.0854,1581.9
181.5854,1581.11
182.0854,1580.17
182.5854,1579.08
183.0854,1577.86
183.5854,1576.52
184.0854,1575.07
184.5854,1573.52
185.0854,1571.88
185.5854,1570.19
186.0854,1568.44
186.5854,1566.68
187.0854,1564.91
187.5854,1563.15
188.0854,1561.42
188.5854,1559.75
189.0854,1558.15
189.5854,1556.64
190.0854,1555.2
190.5854,1553.79
191.0854,1552.41
191.5854,1551.01
192.0854,1549.58
192.5854,1548.09
193.0854,1546.52
193.5854,1544.83
194.0854,1543.01
194.5854,1541.03
195.0854,1538.9
195.5854,1536.61
196.0854,1534.18
196.5854,1531.61
197.0854,1528.89
197.5854,1526.05
198.0854,1523.08
198.5854,1519.98
199.0854,1516.76
199.5854,1513.44
200.0854,1510.03
200.5854,1506.56
201.0854,1503.07
201.5854,1499.57
202.0854,1496.1
202.5854,1492.68
203.0854,1489.34
203.5854,1486.11
204.0854,1483.02
204.5854,1480.08
205.0854,1477.29
205.5854,1474.66
206.0854,1472.18
206.5854,1469.85
207.0854,1467.67
207.5854,1465.63
208.0854,1463.75
208.5854,1462
209.0854,1460.4
209.5854,1458.94
210.0854,1457.6
210.5854,1456.37
211.0854,1455.22
211.5854,1454.16
212.0854,1453.15
212.5854,1452.19
213.0854,1451.25
213.5854,1450.33
214.0854,1449.41
214.5854,1448.49
215.0854,1447.56
215.5854,1446.63
216.0854,1445.72
216.5854,1444.83
217.0854,1443.95
217.5854,1443.11
218.0854,1442.31
218.5854,1441.55
219.0854,1440.83
219.5854,1440.18
220.0854,1439.58
220.5854,1439.04
221.0854,1438.57
221.5854,1438.17
222.0854,1437.85
222.5854,1437.62
223.0854,1437.46
223.5854,1437.4
224.0854,1437.43
224.5854,1437.54
225.0854,1437.71
225.5854,1437.91
226.0854,1438.13
226.5854,1438.33
227.0854,1438.5
227.5854,1438.6
228.0854,1438.62
228.5854,1438.54
229.0854,1438.33
229.5854,1438
230.0854,1437.58
230.5854,1437.08
231.0854,1436.53
